EVENT_ID,TIMESTAMP,SECTOR,SOURCE_ASSET,PROCESS_NAME,FILE_ACTIVITY,CURRENT_ATTACK_STAGE,LABEL
N-01-00059,2026-01-09T10:16:25,Government Data Centres,S01-APP01,java,6,Normal,Normal
N-01-00060,2026-01-16T22:48:40,Government Data Centres,S01-BKP01,python,13,Normal,Normal
N-01-00061,2026-01-02T00:06:24,Government Data Centres,S01-BKP01,nginx,8,Normal,Normal
N-01-00062,2026-01-10T20:57:12,Government Data Centres,S01-BKP01,java,0,Normal,Normal
N-01-00063,2026-01-19T17:37:30,Government Data Centres,S01-WS01,powershell,18,Normal,Normal
N-01-00064,2026-01-14T06:00:36,Government Data Centres,S01-GW01,java,10,Normal,Normal
N-01-00065,2026-01-04T16:40:37,Government Data Centres,S01-GW01,java,17,Normal,Normal
N-01-00066,2026-01-06T09:55:42,Government Data Centres,S01-CTRL01,python,3,Normal,Normal
N-01-00067,2026-01-08T20:51:47,Government Data Centres,S01-MON01,nginx,12,Normal,Normal
N-01-00068,2026-01-05T02:50:56,Government Data Centres,S01-MON01,nginx,2,Normal,Normal
N-01-00069,2026-01-09T21:03:10,Government Data Centres,S01-MGMT01,svchost,17,Normal,Normal
N-01-00070,2026-01-16T08:46:18,Government Data Centres,S01-VPN01,powershell,2,Normal,Normal
N-01-00071,2026-01-08T08:24:50,Government Data Centres,S01-MON01,powershell,18,Normal,Normal
N-01-00072,2026-01-18T10:49:44,Government Data Centres,S01-GW01,nginx,16,Normal,Normal
N-01-00073,2026-01-19T13:09:36,Government Data Centres,S01-CTRL01,powershell,2,Normal,Normal
N-01-00074,2026-01-13T23:50:25,Government Data Centres,S01-APP01,svchost,8,Normal,Normal
N-01-00075,2026-01-14T08:24:38,Government Data Centres,S01-BKP01,powershell,8,Normal,Normal
N-01-00076,2026-01-21T02:32:14,Government Data Centres,S01-MON01,python,12,Normal,Normal
N-01-00077,2026-01-14T06:34:01,Government Data Centres,S01-AUTH01,python,14,Normal,Normal
N-01-00078,2026-01-14T16:30:35,Government Data Centres,S01-AUTH01,nginx,15,Normal,Normal
N-01-00079,2026-01-15T00:18:51,Government Data Centres,S01-AUTH01,python,11,Normal,Normal
N-01-00080,2026-01-08T03:00:43,Government Data Centres,S01-VPN01,nginx,20,Normal,Normal
N-01-00081,2026-01-07T05:40:58,Government Data Centres,S01-MON01,java,8,Normal,Normal
N-01-00082,2026-01-16T19:12:57,Government Data Centres,S01-VPN01,nginx,12,Normal,Normal
N-01-00083,2026-01-10T17:36:03,Government Data Centres,S01-VPN01,powershell,6,Normal,Normal
N-01-00084,2026-01-12T11:22:50,Government Data Centres,S01-AUTH01,nginx,0,Normal,Normal
N-01-00085,2026-01-17T02:45:56,Government Data Centres,S01-DB01,java,5,Normal,Normal
N-01-00086,2026-01-06T12:44:14,Government Data Centres,S01-BKP01,svchost,14,Normal,Normal
N-01-00087,2026-01-13T18:53:16,Government Data Centres,S01-BKP01,svchost,6,Normal,Normal
N-01-00088,2026-01-19T00:52:16,Government Data Centres,S01-CTRL01,svchost,4,Normal,Normal
N-01-00089,2026-01-03T00:59:46,Government Data Centres,S01-APP01,nginx,4,Normal,Normal
N-01-00090,2026-01-09T11:15:57,Government Data Centres,S01-AUTH01,nginx,5,Normal,Normal
N-01-00091,2026-01-14T18:37:30,Government Data Centres,S01-APP01,nginx,16,Normal,Normal
N-01-00092,2026-01-16T13:49:55,Government Data Centres,S01-CTRL01,svchost,10,Normal,Normal
N-01-00093,2026-01-07T15:54:03,Government Data Centres,S01-DB01,nginx,3,Normal,Normal
N-01-00094,2026-01-02T03:34:35,Government Data Centres,S01-BKP01,nginx,3,Normal,Normal
N-01-00095,2026-01-09T02:25:22,Government Data Centres,S01-DB01,java,10,Normal,Normal
N-01-00096,2026-01-02T09:23:59,Government Data Centres,S01-APP01,java,3,Normal,Normal
N-01-00097,2026-01-12T19:18:56,Government Data Centres,S01-BKP01,java,6,Normal,Normal
N-01-00098,2026-01-16T22:58:22,Government Data Centres,S01-CTRL01,nginx,1,Normal,Normal
N-01-00099,2026-01-18T09:42:50,Government Data Centres,S01-DB01,svchost,10,Normal,Normal
N-01-00100,2026-01-01T15:04:47,Government Data Centres,S01-VPN01,python,3,Normal,Normal
N-01-00101,2026-01-11T02:01:17,Government Data Centres,S01-BKP01,python,7,Normal,Normal
N-01-00102,2026-01-02T21:14:50,Government Data Centres,S01-AUTH01,nginx,11,Normal,Normal
N-01-00103,2026-01-15T22:45:39,Government Data Centres,S01-MON01,powershell,16,Normal,Normal
N-01-00104,2026-01-05T03:25:49,Government Data Centres,S01-APP01,nginx,2,Normal,Normal
N-01-00105,2026-01-05T09:12:50,Government Data Centres,S01-APP01,python,1,Normal,Normal
N-01-00106,2026-01-12T18:36:06,Government Data Centres,S01-APP01,java,9,Normal,Normal
N-01-00107,2026-01-13T22:17:55,Government Data Centres,S01-MGMT01,python,8,Normal,Normal
N-01-00108,2026-01-05T11:02:42,Government Data Centres,S01-DB01,python,2,Normal,Normal
N-01-00109,2026-01-12T09:20:28,Government Data Centres,S01-DB01,powershell,15,Normal,Normal
N-01-00110,2026-01-09T11:55:49,Government Data Centres,S01-MON01,nginx,18,Normal,Normal
N-01-00111,2026-01-18T20:05:37,Government Data Centres,S01-CTRL01,nginx,7,Normal,Normal
N-01-00112,2026-01-18T13:32:32,Government Data Centres,S01-CTRL01,python,11,Normal,Normal
N-01-00113,2026-01-11T16:17:56,Government Data Centres,S01-BKP01,svchost,11,Normal,Normal
N-01-00114,2026-01-19T08:53:30,Government Data Centres,S01-MGMT01,java,13,Normal,Normal
N-01-00115,2026-01-12T06:58:43,Government Data Centres,S01-MGMT01,svchost,19,Normal,Normal
N-01-00116,2026-01-21T07:46:46,Government Data Centres,S01-CTRL01,powershell,14,Normal,Normal
N-01-00117,2026-01-06T13:30:24,Government Data Centres,S01-CTRL01,java,19,Normal,Normal
N-01-00118,2026-01-18T23:10:43,Government Data Centres,S01-VPN01,nginx,9,Normal,Normal
N-01-00119,2026-01-10T15:10:16,Government Data Centres,S01-CTRL01,python,13,Normal,Normal
N-01-00120,2026-01-15T06:10:17,Government Data Centres,S01-CTRL01,java,3,Normal,Normal
N-01-00121,2026-01-10T10:45:50,Government Data Centres,S01-DB01,python,1,Normal,Normal
N-01-00122,2026-01-15T07:18:41,Government Data Centres,S01-BKP01,nginx,5,Normal,Normal
N-01-00123,2026-01-19T01:48:25,Government Data Centres,S01-APP01,svchost,18,Normal,Normal
N-01-00124,2026-01-05T07:35:26,Government Data Centres,S01-GW01,python,0,Normal,Normal
N-01-00125,2026-01-07T04:48:04,Government Data Centres,S01-MON01,svchost,10,Normal,Normal
N-01-00126,2026-01-14T09:19:17,Government Data Centres,S01-MGMT01,svchost,19,Normal,Normal
N-01-00127,2026-01-02T07:04:54,Government Data Centres,S01-GW01,python,11,Normal,Normal
N-01-00128,2026-01-11T17:41:07,Government Data Centres,S01-BKP01,python,10,Normal,Normal
N-01-00129,2026-01-12T16:23:27,Government Data Centres,S01-MGMT01,java,15,Normal,Normal
N-01-00130,2026-01-10T22:12:31,Government Data Centres,S01-GW01,nginx,14,Normal,Normal
N-01-00131,2026-01-09T13:08:23,Government Data Centres,S01-MGMT01,python,9,Normal,Normal
N-01-00132,2026-01-21T02:11:10,Government Data Centres,S01-MON01,python,14,Normal,Normal
N-01-00133,2026-01-05T12:25:54,Government Data Centres,S01-BKP01,java,2,Normal,Normal
N-01-00134,2026-01-06T13:15:15,Government Data Centres,S01-BKP01,java,18,Normal,Normal
N-01-00135,2026-01-15T16:38:47,Government Data Centres,S01-CTRL01,python,4,Normal,Normal
N-01-00136,2026-01-12T00:14:34,Government Data Centres,S01-MGMT01,svchost,12,Normal,Normal
N-01-00137,2026-01-03T03:15:27,Government Data Centres,S01-DB01,python,15,Normal,Normal
N-01-00138,2026-01-01T18:35:09,Government Data Centres,S01-DB01,powershell,15,Normal,Normal
N-01-00139,2026-01-17T04:37:50,Government Data Centres,S01-MGMT01,nginx,6,Normal,Normal
N-01-00140,2026-01-13T04:36:42,Government Data Centres,S01-MON01,svchost,10,Normal,Normal
N-01-00141,2026-01-19T09:50:17,Government Data Centres,S01-GW01,java,17,Normal,Normal
N-01-00142,2026-01-12T10:25:14,Government Data Centres,S01-APP01,python,11,Normal,Normal
N-01-00143,2026-01-07T14:21:55,Government Data Centres,S01-MGMT01,java,10,Normal,Normal
N-01-00144,2026-01-19T23:18:24,Government Data Centres,S01-APP01,svchost,6,Normal,Normal
N-01-00145,2026-01-14T07:50:41,Government Data Centres,S01-APP01,powershell,1,Normal,Normal
N-01-00146,2026-01-13T08:54:02,Government Data Centres,S01-CTRL01,powershell,14,Normal,Normal
N-01-00147,2026-01-05T03:06:50,Government Data Centres,S01-BKP01,python,17,Normal,Normal
N-01-00148,2026-01-18T18:10:35,Government Data Centres,S01-DB01,nginx,8,Normal,Normal
N-01-00149,2026-01-13T23:49:36,Government Data Centres,S01-VPN01,nginx,10,Normal,Normal
N-01-00150,2026-01-12T10:39:52,Government Data Centres,S01-MON01,svchost,1,Normal,Normal
N-01-00151,2026-01-02T06:29:20,Government Data Centres,S01-WS01,svchost,18,Normal,Normal
N-01-00152,2026-01-10T10:00:16,Government Data Centres,S01-GW01,python,2,Normal,Normal
N-01-00153,2026-01-10T23:18:23,Government Data Centres,S01-APP01,nginx,7,Normal,Normal
N-01-00154,2026-01-21T02:27:53,Government Data Centres,S01-CTRL01,python,1,Normal,Normal
N-01-00155,2026-01-02T16:49:18,Government Data Centres,S01-WS01,nginx,10,Normal,Normal
N-01-00156,2026-01-03T08:04:11,Government Data Centres,S01-MON01,java,16,Normal,Normal
N-01-00157,2026-01-15T13:45:16,Government Data Centres,S01-WS01,powershell,14,Normal,Normal
N-01-00158,2026-01-06T00:55:41,Government Data Centres,S01-VPN01,nginx,10,Normal,Normal
N-01-00159,2026-01-08T05:40:28,Government Data Centres,S01-BKP01,svchost,4,Normal,Normal
N-01-00160,2026-01-17T12:51:41,Government Data Centres,S01-VPN01,python,15,Normal,Normal
N-01-00161,2026-01-06T22:46:27,Government Data Centres,S01-MGMT01,svchost,1,Normal,Normal
N-01-00162,2026-01-13T01:52:48,Government Data Centres,S01-VPN01,svchost,2,Normal,Normal
N-01-00163,2026-01-05T10:10:49,Government Data Centres,S01-VPN01,svchost,20,Normal,Normal
N-01-00164,2026-01-13T06:04:45,Government Data Centres,S01-MGMT01,svchost,9,Normal,Normal
N-01-00165,2026-01-04T07:51:12,Government Data Centres,S01-AUTH01,python,0,Normal,Normal
N-01-00166,2026-01-07T15:53:39,Government Data Centres,S01-DB01,java,9,Normal,Normal
N-01-00167,2026-01-05T08:53:29,Government Data Centres,S01-CTRL01,powershell,16,Normal,Normal
N-01-00168,2026-01-06T02:36:44,Government Data Centres,S01-BKP01,powershell,6,Normal,Normal
N-01-00169,2026-01-01T21:05:29,Government Data Centres,S01-GW01,python,10,Normal,Normal
N-01-00170,2026-01-16T22:33:21,Government Data Centres,S01-GW01,svchost,13,Normal,Normal
N-01-00171,2026-01-08T03:28:36,Government Data Centres,S01-GW01,java,19,Normal,Normal
N-01-00172,2026-01-17T09:10:54,Government Data Centres,S01-APP01,svchost,16,Normal,Normal
N-01-00173,2026-01-12T17:05:09,Government Data Centres,S01-GW01,python,2,Normal,Normal
N-01-00174,2026-01-02T09:11:06,Government Data Centres,S01-MGMT01,nginx,0,Normal,Normal
N-01-00175,2026-01-13T00:44:06,Government Data Centres,S01-CTRL01,svchost,1,Normal,Normal
N-01-00176,2026-01-02T13:22:05,Government Data Centres,S01-APP01,svchost,15,Normal,Normal
N-01-00177,2026-01-04T14:29:55,Government Data Centres,S01-DB01,powershell,19,Normal,Normal
N-01-00178,2026-01-12T21:24:06,Government Data Centres,S01-CTRL01,python,13,Normal,Normal
N-01-00179,2026-01-13T17:23:44,Government Data Centres,S01-BKP01,svchost,20,Normal,Normal
N-01-00180,2026-01-06T06:50:52,Government Data Centres,S01-GW01,nginx,18,Normal,Normal
N-01-00181,2026-01-10T12:44:54,Government Data Centres,S01-GW01,powershell,12,Normal,Normal
N-01-00182,2026-01-11T05:40:34,Government Data Centres,S01-BKP01,svchost,13,Normal,Normal
N-01-00183,2026-01-04T10:56:41,Government Data Centres,S01-AUTH01,svchost,7,Normal,Normal
N-01-00184,2026-01-10T16:22:59,Government Data Centres,S01-VPN01,java,15,Normal,Normal
N-01-00185,2026-01-19T11:52:37,Government Data Centres,S01-APP01,powershell,18,Normal,Normal
N-01-00186,2026-01-15T15:40:30,Government Data Centres,S01-WS01,nginx,19,Normal,Normal
N-01-00187,2026-01-16T07:59:28,Government Data Centres,S01-AUTH01,svchost,20,Normal,Normal
N-01-00188,2026-01-14T11:31:46,Government Data Centres,S01-AUTH01,svchost,0,Normal,Normal
N-01-00189,2026-01-10T00:37:43,Government Data Centres,S01-WS01,java,18,Normal,Normal
N-01-00190,2026-01-09T00:16:43,Government Data Centres,S01-DB01,nginx,0,Normal,Normal
N-01-00191,2026-01-02T15:03:38,Government Data Centres,S01-CTRL01,powershell,13,Normal,Normal
N-01-00192,2026-01-05T00:27:49,Government Data Centres,S01-MGMT01,svchost,6,Normal,Normal
N-01-00193,2026-01-11T09:09:45,Government Data Centres,S01-CTRL01,svchost,18,Normal,Normal
N-01-00194,2026-01-17T10:26:49,Government Data Centres,S01-GW01,nginx,11,Normal,Normal
N-01-00195,2026-01-03T03:56:53,Government Data Centres,S01-VPN01,java,1,Normal,Normal
N-01-00196,2026-01-17T17:04:37,Government Data Centres,S01-DB01,python,4,Normal,Normal
N-01-00197,2026-01-02T23:20:02,Government Data Centres,S01-CTRL01,nginx,15,Normal,Normal
N-01-00198,2026-01-02T18:27:51,Government Data Centres,S01-CTRL01,powershell,17,Normal,Normal
N-01-00199,2026-01-06T21:03:59,Government Data Centres,S01-AUTH01,powershell,16,Normal,Normal
N-01-00200,2026-01-06T18:39:11,Government Data Centres,S01-MON01,nginx,19,Normal,Normal
N-01-00201,2026-01-12T21:11:14,Government Data Centres,S01-MGMT01,svchost,8,Normal,Normal
N-01-00202,2026-01-02T07:39:06,Government Data Centres,S01-MGMT01,java,3,Normal,Normal
N-01-00203,2026-01-21T03:04:12,Government Data Centres,S01-DB01,powershell,6,Normal,Normal
N-01-00204,2026-01-02T01:31:44,Government Data Centres,S01-MGMT01,svchost,6,Normal,Normal
N-01-00205,2026-01-20T09:06:29,Government Data Centres,S01-CTRL01,nginx,13,Normal,Normal
N-01-00206,2026-01-12T05:44:51,Government Data Centres,S01-VPN01,powershell,5,Normal,Normal
N-01-00207,2026-01-11T16:24:29,Government Data Centres,S01-MON01,python,18,Normal,Normal
N-01-00208,2026-01-15T10:51:56,Government Data Centres,S01-DB01,java,10,Normal,Normal
N-01-00209,2026-01-03T22:01:41,Government Data Centres,S01-DB01,python,3,Normal,Normal
N-01-00210,2026-01-16T18:26:52,Government Data Centres,S01-MON01,java,15,Normal,Normal
N-01-00211,2026-01-13T04:21:40,Government Data Centres,S01-AUTH01,svchost,18,Normal,Normal
N-01-00212,2026-01-12T09:30:37,Government Data Centres,S01-MGMT01,powershell,9,Normal,Normal
N-01-00213,2026-01-15T09:51:59,Government Data Centres,S01-MON01,nginx,10,Normal,Normal
N-01-00214,2026-01-09T19:39:28,Government Data Centres,S01-MGMT01,python,4,Normal,Normal
N-01-00215,2026-01-09T00:58:44,Government Data Centres,S01-CTRL01,python,16,Normal,Normal
N-01-00216,2026-01-05T18:53:01,Government Data Centres,S01-DB01,powershell,11,Normal,Normal
N-01-00217,2026-01-21T05:29:35,Government Data Centres,S01-WS01,nginx,18,Normal,Normal
N-01-00218,2026-01-01T11:36:26,Government Data Centres,S01-BKP01,powershell,15,Normal,Normal
N-01-00219,2026-01-06T10:37:01,Government Data Centres,S01-VPN01,powershell,18,Normal,Normal
N-01-00220,2026-01-21T02:13:16,Government Data Centres,S01-MON01,powershell,13,Normal,Normal
N-01-00221,2026-01-07T22:18:18,Government Data Centres,S01-MGMT01,python,11,Normal,Normal
N-01-00222,2026-01-04T10:47:33,Government Data Centres,S01-AUTH01,svchost,11,Normal,Normal
N-01-00223,2026-01-04T11:55:52,Government Data Centres,S01-WS01,nginx,2,Normal,Normal
N-01-00224,2026-01-18T13:36:27,Government Data Centres,S01-GW01,powershell,0,Normal,Normal
N-01-00225,2026-01-20T13:57:47,Government Data Centres,S01-APP01,nginx,6,Normal,Normal
N-01-00226,2026-01-09T16:08:44,Government Data Centres,S01-VPN01,powershell,9,Normal,Normal
N-01-00227,2026-01-03T04:55:20,Government Data Centres,S01-VPN01,svchost,3,Normal,Normal
N-01-00228,2026-01-13T05:26:42,Government Data Centres,S01-BKP01,powershell,18,Normal,Normal
N-01-00229,2026-01-18T13:02:50,Government Data Centres,S01-CTRL01,nginx,3,Normal,Normal
N-01-00230,2026-01-12T16:02:43,Government Data Centres,S01-GW01,powershell,17,Normal,Normal
N-01-00231,2026-01-18T17:13:02,Government Data Centres,S01-VPN01,svchost,15,Normal,Normal
N-01-00232,2026-01-16T08:29:35,Government Data Centres,S01-APP01,nginx,4,Normal,Normal
N-01-00233,2026-01-19T18:07:47,Government Data Centres,S01-MGMT01,powershell,5,Normal,Normal
N-01-00234,2026-01-08T18:06:02,Government Data Centres,S01-GW01,java,10,Normal,Normal
N-01-00235,2026-01-19T19:09:48,Government Data Centres,S01-MON01,java,19,Normal,Normal
N-01-00236,2026-01-14T19:14:21,Government Data Centres,S01-APP01,powershell,19,Normal,Normal
N-01-00237,2026-01-16T14:45:48,Government Data Centres,S01-VPN01,powershell,13,Normal,Normal
N-01-00238,2026-01-20T21:46:53,Government Data Centres,S01-BKP01,svchost,13,Normal,Normal
N-01-00239,2026-01-04T23:01:17,Government Data Centres,S01-GW01,nginx,12,Normal,Normal
N-01-00240,2026-01-03T21:07:36,Government Data Centres,S01-AUTH01,java,8,Normal,Normal
N-01-00241,2026-01-07T02:53:55,Government Data Centres,S01-MON01,python,1,Normal,Normal
N-01-00242,2026-01-07T02:09:35,Government Data Centres,S01-GW01,powershell,20,Normal,Normal
N-01-00243,2026-01-07T13:39:55,Government Data Centres,S01-BKP01,nginx,20,Normal,Normal
N-01-00244,2026-01-19T08:00:41,Government Data Centres,S01-AUTH01,python,10,Normal,Normal
N-01-00245,2026-01-03T06:05:26,Government Data Centres,S01-WS01,svchost,19,Normal,Normal
N-01-00246,2026-01-03T08:38:23,Government Data Centres,S01-WS01,svchost,4,Normal,Normal
N-01-00247,2026-01-14T23:43:13,Government Data Centres,S01-BKP01,java,10,Normal,Normal
N-01-00248,2026-01-17T13:34:24,Government Data Centres,S01-BKP01,powershell,4,Normal,Normal
N-01-00249,2026-01-14T13:01:11,Government Data Centres,S01-VPN01,powershell,13,Normal,Normal
N-01-00250,2026-01-15T06:44:53,Government Data Centres,S01-WS01,nginx,15,Normal,Normal
N-01-00251,2026-01-17T09:32:29,Government Data Centres,S01-WS01,python,8,Normal,Normal
N-01-00252,2026-01-14T14:41:00,Government Data Centres,S01-CTRL01,java,0,Normal,Normal
N-01-00253,2026-01-20T05:40:45,Government Data Centres,S01-APP01,svchost,2,Normal,Normal
N-01-00254,2026-01-05T09:13:15,Government Data Centres,S01-BKP01,nginx,11,Normal,Normal
N-01-00255,2026-01-12T11:23:28,Government Data Centres,S01-VPN01,java,15,Normal,Normal
N-01-00256,2026-01-03T05:51:18,Government Data Centres,S01-VPN01,nginx,14,Normal,Normal
N-01-00257,2026-01-09T10:07:16,Government Data Centres,S01-CTRL01,powershell,5,Normal,Normal
N-01-00258,2026-01-03T02:43:47,Government Data Centres,S01-DB01,java,4,Normal,Normal
N-01-00259,2026-01-03T21:07:52,Government Data Centres,S01-GW01,java,4,Normal,Normal
N-01-00260,2026-01-12T01:29:01,Government Data Centres,S01-MON01,python,19,Normal,Normal
N-01-00261,2026-01-17T14:05:03,Government Data Centres,S01-MON01,java,15,Normal,Normal
N-01-00262,2026-01-06T14:45:32,Government Data Centres,S01-MGMT01,java,5,Normal,Normal
N-01-00263,2026-01-03T15:06:50,Government Data Centres,S01-CTRL01,java,3,Normal,Normal
N-01-00264,2026-01-12T09:37:16,Government Data Centres,S01-VPN01,nginx,5,Normal,Normal
N-01-00265,2026-01-09T13:30:10,Government Data Centres,S01-APP01,powershell,16,Normal,Normal
N-01-00266,2026-01-07T09:16:23,Government Data Centres,S01-AUTH01,nginx,16,Normal,Normal
N-01-00267,2026-01-09T00:45:20,Government Data Centres,S01-APP01,powershell,16,Normal,Normal
N-01-00268,2026-01-17T06:27:25,Government Data Centres,S01-CTRL01,java,2,Normal,Normal
N-01-00269,2026-01-08T10:31:33,Government Data Centres,S01-VPN01,nginx,14,Normal,Normal
N-01-00270,2026-01-11T15:28:21,Government Data Centres,S01-WS01,java,13,Normal,Normal
N-01-00271,2026-01-03T10:22:03,Government Data Centres,S01-BKP01,python,4,Normal,Normal
N-01-00272,2026-01-04T06:39:45,Government Data Centres,S01-MON01,python,4,Normal,Normal
N-01-00273,2026-01-08T06:31:23,Government Data Centres,S01-APP01,svchost,18,Normal,Normal
N-01-00274,2026-01-09T00:29:50,Government Data Centres,S01-WS01,nginx,14,Normal,Normal
N-01-00275,2026-01-21T00:55:10,Government Data Centres,S01-WS01,java,0,Normal,Normal
N-01-00276,2026-01-06T21:57:53,Government Data Centres,S01-WS01,powershell,2,Normal,Normal
N-01-00277,2026-01-13T15:53:10,Government Data Centres,S01-APP01,powershell,4,Normal,Normal
N-01-00278,2026-01-07T04:51:24,Government Data Centres,S01-BKP01,svchost,0,Normal,Normal
N-01-00279,2026-01-01T18:10:17,Government Data Centres,S01-BKP01,python,14,Normal,Normal
N-01-00280,2026-01-19T19:48:29,Government Data Centres,S01-GW01,python,18,Normal,Normal
N-01-00281,2026-01-03T08:59:25,Government Data Centres,S01-APP01,svchost,19,Normal,Normal
