EVENT_ID,SECTOR,ATTACK_TYPE,CURRENT_ATTACK_STAGE,MITRE_TECHNIQUE,LABEL
N-01-00071,Government Data Centres,Normal,Normal,None,Normal
N-01-00072,Government Data Centres,Normal,Normal,None,Normal
N-01-00073,Government Data Centres,Normal,Normal,None,Normal
N-01-00074,Government Data Centres,Normal,Normal,None,Normal
N-01-00075,Government Data Centres,Normal,Normal,None,Normal
N-01-00076,Government Data Centres,Normal,Normal,None,Normal
N-01-00077,Government Data Centres,Normal,Normal,None,Normal
N-01-00078,Government Data Centres,Normal,Normal,None,Normal
N-01-00079,Government Data Centres,Normal,Normal,None,Normal
N-01-00080,Government Data Centres,Normal,Normal,None,Normal
N-01-00081,Government Data Centres,Normal,Normal,None,Normal
N-01-00082,Government Data Centres,Normal,Normal,None,Normal
N-01-00083,Government Data Centres,Normal,Normal,None,Normal
N-01-00084,Government Data Centres,Normal,Normal,None,Normal
N-01-00085,Government Data Centres,Normal,Normal,None,Normal
N-01-00086,Government Data Centres,Normal,Normal,None,Normal
N-01-00087,Government Data Centres,Normal,Normal,None,Normal
N-01-00088,Government Data Centres,Normal,Normal,None,Normal
N-01-00089,Government Data Centres,Normal,Normal,None,Normal
N-01-00090,Government Data Centres,Normal,Normal,None,Normal
N-01-00091,Government Data Centres,Normal,Normal,None,Normal
N-01-00092,Government Data Centres,Normal,Normal,None,Normal
N-01-00093,Government Data Centres,Normal,Normal,None,Normal
N-01-00094,Government Data Centres,Normal,Normal,None,Normal
N-01-00095,Government Data Centres,Normal,Normal,None,Normal
N-01-00096,Government Data Centres,Normal,Normal,None,Normal
N-01-00097,Government Data Centres,Normal,Normal,None,Normal
N-01-00098,Government Data Centres,Normal,Normal,None,Normal
N-01-00099,Government Data Centres,Normal,Normal,None,Normal
N-01-00100,Government Data Centres,Normal,Normal,None,Normal
N-01-00101,Government Data Centres,Normal,Normal,None,Normal
N-01-00102,Government Data Centres,Normal,Normal,None,Normal
N-01-00103,Government Data Centres,Normal,Normal,None,Normal
N-01-00104,Government Data Centres,Normal,Normal,None,Normal
N-01-00105,Government Data Centres,Normal,Normal,None,Normal
N-01-00106,Government Data Centres,Normal,Normal,None,Normal
N-01-00107,Government Data Centres,Normal,Normal,None,Normal
N-01-00108,Government Data Centres,Normal,Normal,None,Normal
N-01-00109,Government Data Centres,Normal,Normal,None,Normal
N-01-00110,Government Data Centres,Normal,Normal,None,Normal
N-01-00111,Government Data Centres,Normal,Normal,None,Normal
N-01-00112,Government Data Centres,Normal,Normal,None,Normal
N-01-00113,Government Data Centres,Normal,Normal,None,Normal
N-01-00114,Government Data Centres,Normal,Normal,None,Normal
N-01-00115,Government Data Centres,Normal,Normal,None,Normal
N-01-00116,Government Data Centres,Normal,Normal,None,Normal
N-01-00117,Government Data Centres,Normal,Normal,None,Normal
N-01-00118,Government Data Centres,Normal,Normal,None,Normal
N-01-00119,Government Data Centres,Normal,Normal,None,Normal
N-01-00120,Government Data Centres,Normal,Normal,None,Normal
N-01-00121,Government Data Centres,Normal,Normal,None,Normal
N-01-00122,Government Data Centres,Normal,Normal,None,Normal
N-01-00123,Government Data Centres,Normal,Normal,None,Normal
N-01-00124,Government Data Centres,Normal,Normal,None,Normal
N-01-00125,Government Data Centres,Normal,Normal,None,Normal
N-01-00126,Government Data Centres,Normal,Normal,None,Normal
N-01-00127,Government Data Centres,Normal,Normal,None,Normal
N-01-00128,Government Data Centres,Normal,Normal,None,Normal
N-01-00129,Government Data Centres,Normal,Normal,None,Normal
N-01-00130,Government Data Centres,Normal,Normal,None,Normal
N-01-00131,Government Data Centres,Normal,Normal,None,Normal
N-01-00132,Government Data Centres,Normal,Normal,None,Normal
N-01-00133,Government Data Centres,Normal,Normal,None,Normal
N-01-00134,Government Data Centres,Normal,Normal,None,Normal
N-01-00135,Government Data Centres,Normal,Normal,None,Normal
N-01-00136,Government Data Centres,Normal,Normal,None,Normal
N-01-00137,Government Data Centres,Normal,Normal,None,Normal
N-01-00138,Government Data Centres,Normal,Normal,None,Normal
N-01-00139,Government Data Centres,Normal,Normal,None,Normal
N-01-00140,Government Data Centres,Normal,Normal,None,Normal
N-01-00141,Government Data Centres,Normal,Normal,None,Normal
N-01-00142,Government Data Centres,Normal,Normal,None,Normal
N-01-00143,Government Data Centres,Normal,Normal,None,Normal
N-01-00144,Government Data Centres,Normal,Normal,None,Normal
N-01-00145,Government Data Centres,Normal,Normal,None,Normal
N-01-00146,Government Data Centres,Normal,Normal,None,Normal
N-01-00147,Government Data Centres,Normal,Normal,None,Normal
N-01-00148,Government Data Centres,Normal,Normal,None,Normal
N-01-00149,Government Data Centres,Normal,Normal,None,Normal
N-01-00150,Government Data Centres,Normal,Normal,None,Normal
N-01-00151,Government Data Centres,Normal,Normal,None,Normal
N-01-00152,Government Data Centres,Normal,Normal,None,Normal
N-01-00153,Government Data Centres,Normal,Normal,None,Normal
N-01-00154,Government Data Centres,Normal,Normal,None,Normal
N-01-00155,Government Data Centres,Normal,Normal,None,Normal
N-01-00156,Government Data Centres,Normal,Normal,None,Normal
N-01-00157,Government Data Centres,Normal,Normal,None,Normal
N-01-00158,Government Data Centres,Normal,Normal,None,Normal
N-01-00159,Government Data Centres,Normal,Normal,None,Normal
N-01-00160,Government Data Centres,Normal,Normal,None,Normal
N-01-00161,Government Data Centres,Normal,Normal,None,Normal
N-01-00162,Government Data Centres,Normal,Normal,None,Normal
N-01-00163,Government Data Centres,Normal,Normal,None,Normal
N-01-00164,Government Data Centres,Normal,Normal,None,Normal
N-01-00165,Government Data Centres,Normal,Normal,None,Normal
N-01-00166,Government Data Centres,Normal,Normal,None,Normal
N-01-00167,Government Data Centres,Normal,Normal,None,Normal
N-01-00168,Government Data Centres,Normal,Normal,None,Normal
N-01-00169,Government Data Centres,Normal,Normal,None,Normal
N-01-00170,Government Data Centres,Normal,Normal,None,Normal
N-01-00171,Government Data Centres,Normal,Normal,None,Normal
N-01-00172,Government Data Centres,Normal,Normal,None,Normal
N-01-00173,Government Data Centres,Normal,Normal,None,Normal
N-01-00174,Government Data Centres,Normal,Normal,None,Normal
N-01-00175,Government Data Centres,Normal,Normal,None,Normal
N-01-00176,Government Data Centres,Normal,Normal,None,Normal
N-01-00177,Government Data Centres,Normal,Normal,None,Normal
N-01-00178,Government Data Centres,Normal,Normal,None,Normal
N-01-00179,Government Data Centres,Normal,Normal,None,Normal
N-01-00180,Government Data Centres,Normal,Normal,None,Normal
N-01-00181,Government Data Centres,Normal,Normal,None,Normal
N-01-00182,Government Data Centres,Normal,Normal,None,Normal
N-01-00183,Government Data Centres,Normal,Normal,None,Normal
N-01-00184,Government Data Centres,Normal,Normal,None,Normal
N-01-00185,Government Data Centres,Normal,Normal,None,Normal
N-01-00186,Government Data Centres,Normal,Normal,None,Normal
N-01-00187,Government Data Centres,Normal,Normal,None,Normal
N-01-00188,Government Data Centres,Normal,Normal,None,Normal
N-01-00189,Government Data Centres,Normal,Normal,None,Normal
N-01-00190,Government Data Centres,Normal,Normal,None,Normal
N-01-00191,Government Data Centres,Normal,Normal,None,Normal
N-01-00192,Government Data Centres,Normal,Normal,None,Normal
N-01-00193,Government Data Centres,Normal,Normal,None,Normal
N-01-00194,Government Data Centres,Normal,Normal,None,Normal
N-01-00195,Government Data Centres,Normal,Normal,None,Normal
N-01-00196,Government Data Centres,Normal,Normal,None,Normal
N-01-00197,Government Data Centres,Normal,Normal,None,Normal
N-01-00198,Government Data Centres,Normal,Normal,None,Normal
N-01-00199,Government Data Centres,Normal,Normal,None,Normal
N-01-00200,Government Data Centres,Normal,Normal,None,Normal
N-01-00201,Government Data Centres,Normal,Normal,None,Normal
N-01-00202,Government Data Centres,Normal,Normal,None,Normal
N-01-00203,Government Data Centres,Normal,Normal,None,Normal
N-01-00204,Government Data Centres,Normal,Normal,None,Normal
N-01-00205,Government Data Centres,Normal,Normal,None,Normal
N-01-00206,Government Data Centres,Normal,Normal,None,Normal
N-01-00207,Government Data Centres,Normal,Normal,None,Normal
N-01-00208,Government Data Centres,Normal,Normal,None,Normal
N-01-00209,Government Data Centres,Normal,Normal,None,Normal
N-01-00210,Government Data Centres,Normal,Normal,None,Normal
N-01-00211,Government Data Centres,Normal,Normal,None,Normal
N-01-00212,Government Data Centres,Normal,Normal,None,Normal
N-01-00213,Government Data Centres,Normal,Normal,None,Normal
N-01-00214,Government Data Centres,Normal,Normal,None,Normal
N-01-00215,Government Data Centres,Normal,Normal,None,Normal
N-01-00216,Government Data Centres,Normal,Normal,None,Normal
N-01-00217,Government Data Centres,Normal,Normal,None,Normal
N-01-00218,Government Data Centres,Normal,Normal,None,Normal
N-01-00219,Government Data Centres,Normal,Normal,None,Normal
N-01-00220,Government Data Centres,Normal,Normal,None,Normal
N-01-00221,Government Data Centres,Normal,Normal,None,Normal
N-01-00222,Government Data Centres,Normal,Normal,None,Normal
N-01-00223,Government Data Centres,Normal,Normal,None,Normal
N-01-00224,Government Data Centres,Normal,Normal,None,Normal
N-01-00225,Government Data Centres,Normal,Normal,None,Normal
N-01-00226,Government Data Centres,Normal,Normal,None,Normal
N-01-00227,Government Data Centres,Normal,Normal,None,Normal
N-01-00228,Government Data Centres,Normal,Normal,None,Normal
N-01-00229,Government Data Centres,Normal,Normal,None,Normal
N-01-00230,Government Data Centres,Normal,Normal,None,Normal
N-01-00231,Government Data Centres,Normal,Normal,None,Normal
N-01-00232,Government Data Centres,Normal,Normal,None,Normal
N-01-00233,Government Data Centres,Normal,Normal,None,Normal
N-01-00234,Government Data Centres,Normal,Normal,None,Normal
N-01-00235,Government Data Centres,Normal,Normal,None,Normal
N-01-00236,Government Data Centres,Normal,Normal,None,Normal
N-01-00237,Government Data Centres,Normal,Normal,None,Normal
N-01-00238,Government Data Centres,Normal,Normal,None,Normal
N-01-00239,Government Data Centres,Normal,Normal,None,Normal
N-01-00240,Government Data Centres,Normal,Normal,None,Normal
N-01-00241,Government Data Centres,Normal,Normal,None,Normal
N-01-00242,Government Data Centres,Normal,Normal,None,Normal
N-01-00243,Government Data Centres,Normal,Normal,None,Normal
N-01-00244,Government Data Centres,Normal,Normal,None,Normal
N-01-00245,Government Data Centres,Normal,Normal,None,Normal
N-01-00246,Government Data Centres,Normal,Normal,None,Normal
N-01-00247,Government Data Centres,Normal,Normal,None,Normal
N-01-00248,Government Data Centres,Normal,Normal,None,Normal
N-01-00249,Government Data Centres,Normal,Normal,None,Normal
N-01-00250,Government Data Centres,Normal,Normal,None,Normal
N-01-00251,Government Data Centres,Normal,Normal,None,Normal
N-01-00252,Government Data Centres,Normal,Normal,None,Normal
N-01-00253,Government Data Centres,Normal,Normal,None,Normal
N-01-00254,Government Data Centres,Normal,Normal,None,Normal
N-01-00255,Government Data Centres,Normal,Normal,None,Normal
N-01-00256,Government Data Centres,Normal,Normal,None,Normal
N-01-00257,Government Data Centres,Normal,Normal,None,Normal
N-01-00258,Government Data Centres,Normal,Normal,None,Normal
N-01-00259,Government Data Centres,Normal,Normal,None,Normal
N-01-00260,Government Data Centres,Normal,Normal,None,Normal
N-01-00261,Government Data Centres,Normal,Normal,None,Normal
N-01-00262,Government Data Centres,Normal,Normal,None,Normal
N-01-00263,Government Data Centres,Normal,Normal,None,Normal
N-01-00264,Government Data Centres,Normal,Normal,None,Normal
N-01-00265,Government Data Centres,Normal,Normal,None,Normal
N-01-00266,Government Data Centres,Normal,Normal,None,Normal
N-01-00267,Government Data Centres,Normal,Normal,None,Normal
N-01-00268,Government Data Centres,Normal,Normal,None,Normal
N-01-00269,Government Data Centres,Normal,Normal,None,Normal
N-01-00270,Government Data Centres,Normal,Normal,None,Normal
N-01-00271,Government Data Centres,Normal,Normal,None,Normal
N-01-00272,Government Data Centres,Normal,Normal,None,Normal
N-01-00273,Government Data Centres,Normal,Normal,None,Normal
N-01-00274,Government Data Centres,Normal,Normal,None,Normal
N-01-00275,Government Data Centres,Normal,Normal,None,Normal
N-01-00276,Government Data Centres,Normal,Normal,None,Normal
N-01-00277,Government Data Centres,Normal,Normal,None,Normal
N-01-00278,Government Data Centres,Normal,Normal,None,Normal
N-01-00279,Government Data Centres,Normal,Normal,None,Normal
N-01-00280,Government Data Centres,Normal,Normal,None,Normal
N-01-00281,Government Data Centres,Normal,Normal,None,Normal
N-01-00282,Government Data Centres,Normal,Normal,None,Normal
N-01-00283,Government Data Centres,Normal,Normal,None,Normal
N-01-00284,Government Data Centres,Normal,Normal,None,Normal
N-01-00285,Government Data Centres,Normal,Normal,None,Normal
N-01-00286,Government Data Centres,Normal,Normal,None,Normal
N-01-00287,Government Data Centres,Normal,Normal,None,Normal
N-01-00288,Government Data Centres,Normal,Normal,None,Normal
N-01-00289,Government Data Centres,Normal,Normal,None,Normal
N-01-00290,Government Data Centres,Normal,Normal,None,Normal
N-01-00291,Government Data Centres,Normal,Normal,None,Normal
N-01-00292,Government Data Centres,Normal,Normal,None,Normal
N-01-00293,Government Data Centres,Normal,Normal,None,Normal
N-01-00294,Government Data Centres,Normal,Normal,None,Normal
N-01-00295,Government Data Centres,Normal,Normal,None,Normal
N-01-00296,Government Data Centres,Normal,Normal,None,Normal
N-01-00297,Government Data Centres,Normal,Normal,None,Normal
N-01-00298,Government Data Centres,Normal,Normal,None,Normal
N-01-00299,Government Data Centres,Normal,Normal,None,Normal
N-01-00300,Government Data Centres,Normal,Normal,None,Normal
N-01-00301,Government Data Centres,Normal,Normal,None,Normal
N-01-00302,Government Data Centres,Normal,Normal,None,Normal
N-01-00303,Government Data Centres,Normal,Normal,None,Normal
N-01-00304,Government Data Centres,Normal,Normal,None,Normal
N-01-00305,Government Data Centres,Normal,Normal,None,Normal
N-01-00306,Government Data Centres,Normal,Normal,None,Normal
N-01-00307,Government Data Centres,Normal,Normal,None,Normal
N-01-00308,Government Data Centres,Normal,Normal,None,Normal
N-01-00309,Government Data Centres,Normal,Normal,None,Normal
N-01-00310,Government Data Centres,Normal,Normal,None,Normal
N-01-00311,Government Data Centres,Normal,Normal,None,Normal
N-01-00312,Government Data Centres,Normal,Normal,None,Normal
N-01-00313,Government Data Centres,Normal,Normal,None,Normal
N-01-00314,Government Data Centres,Normal,Normal,None,Normal
N-01-00315,Government Data Centres,Normal,Normal,None,Normal
N-01-00316,Government Data Centres,Normal,Normal,None,Normal
N-01-00317,Government Data Centres,Normal,Normal,None,Normal
N-01-00318,Government Data Centres,Normal,Normal,None,Normal
N-01-00319,Government Data Centres,Normal,Normal,None,Normal
N-01-00320,Government Data Centres,Normal,Normal,None,Normal
N-01-00321,Government Data Centres,Normal,Normal,None,Normal
N-01-00322,Government Data Centres,Normal,Normal,None,Normal
N-01-00323,Government Data Centres,Normal,Normal,None,Normal
N-01-00324,Government Data Centres,Normal,Normal,None,Normal
N-01-00325,Government Data Centres,Normal,Normal,None,Normal
N-01-00326,Government Data Centres,Normal,Normal,None,Normal
N-01-00327,Government Data Centres,Normal,Normal,None,Normal
N-01-00328,Government Data Centres,Normal,Normal,None,Normal
N-01-00329,Government Data Centres,Normal,Normal,None,Normal
N-01-00330,Government Data Centres,Normal,Normal,None,Normal
N-01-00331,Government Data Centres,Normal,Normal,None,Normal
N-01-00332,Government Data Centres,Normal,Normal,None,Normal
N-01-00333,Government Data Centres,Normal,Normal,None,Normal
N-01-00334,Government Data Centres,Normal,Normal,None,Normal
N-01-00335,Government Data Centres,Normal,Normal,None,Normal
N-01-00336,Government Data Centres,Normal,Normal,None,Normal
N-01-00337,Government Data Centres,Normal,Normal,None,Normal
N-01-00338,Government Data Centres,Normal,Normal,None,Normal
N-01-00339,Government Data Centres,Normal,Normal,None,Normal
N-01-00340,Government Data Centres,Normal,Normal,None,Normal
N-01-00341,Government Data Centres,Normal,Normal,None,Normal
N-01-00342,Government Data Centres,Normal,Normal,None,Normal
N-01-00343,Government Data Centres,Normal,Normal,None,Normal
N-01-00344,Government Data Centres,Normal,Normal,None,Normal
N-01-00345,Government Data Centres,Normal,Normal,None,Normal
N-01-00346,Government Data Centres,Normal,Normal,None,Normal
N-01-00347,Government Data Centres,Normal,Normal,None,Normal
N-01-00348,Government Data Centres,Normal,Normal,None,Normal
N-01-00349,Government Data Centres,Normal,Normal,None,Normal
N-01-00350,Government Data Centres,Normal,Normal,None,Normal
N-01-00351,Government Data Centres,Normal,Normal,None,Normal
N-01-00352,Government Data Centres,Normal,Normal,None,Normal
N-01-00353,Government Data Centres,Normal,Normal,None,Normal
N-01-00354,Government Data Centres,Normal,Normal,None,Normal
N-01-00355,Government Data Centres,Normal,Normal,None,Normal
N-01-00356,Government Data Centres,Normal,Normal,None,Normal
N-01-00357,Government Data Centres,Normal,Normal,None,Normal
N-01-00358,Government Data Centres,Normal,Normal,None,Normal
N-01-00359,Government Data Centres,Normal,Normal,None,Normal
N-01-00360,Government Data Centres,Normal,Normal,None,Normal
N-01-00361,Government Data Centres,Normal,Normal,None,Normal
N-01-00362,Government Data Centres,Normal,Normal,None,Normal
N-01-00363,Government Data Centres,Normal,Normal,None,Normal
N-01-00364,Government Data Centres,Normal,Normal,None,Normal
N-01-00365,Government Data Centres,Normal,Normal,None,Normal
N-01-00366,Government Data Centres,Normal,Normal,None,Normal
N-01-00367,Government Data Centres,Normal,Normal,None,Normal
N-01-00368,Government Data Centres,Normal,Normal,None,Normal
N-01-00369,Government Data Centres,Normal,Normal,None,Normal
N-01-00370,Government Data Centres,Normal,Normal,None,Normal
N-01-00371,Government Data Centres,Normal,Normal,None,Normal
N-01-00372,Government Data Centres,Normal,Normal,None,Normal
N-01-00373,Government Data Centres,Normal,Normal,None,Normal
N-01-00374,Government Data Centres,Normal,Normal,None,Normal
N-01-00375,Government Data Centres,Normal,Normal,None,Normal
N-01-00376,Government Data Centres,Normal,Normal,None,Normal
N-01-00377,Government Data Centres,Normal,Normal,None,Normal
N-01-00378,Government Data Centres,Normal,Normal,None,Normal
N-01-00379,Government Data Centres,Normal,Normal,None,Normal
N-01-00380,Government Data Centres,Normal,Normal,None,Normal
N-01-00381,Government Data Centres,Normal,Normal,None,Normal
N-01-00382,Government Data Centres,Normal,Normal,None,Normal
N-01-00383,Government Data Centres,Normal,Normal,None,Normal
N-01-00384,Government Data Centres,Normal,Normal,None,Normal
N-01-00385,Government Data Centres,Normal,Normal,None,Normal
N-01-00386,Government Data Centres,Normal,Normal,None,Normal
N-01-00387,Government Data Centres,Normal,Normal,None,Normal
N-01-00388,Government Data Centres,Normal,Normal,None,Normal
N-01-00389,Government Data Centres,Normal,Normal,None,Normal
N-01-00390,Government Data Centres,Normal,Normal,None,Normal
N-01-00391,Government Data Centres,Normal,Normal,None,Normal
N-01-00392,Government Data Centres,Normal,Normal,None,Normal
N-01-00393,Government Data Centres,Normal,Normal,None,Normal
N-01-00394,Government Data Centres,Normal,Normal,None,Normal
N-01-00395,Government Data Centres,Normal,Normal,None,Normal
N-01-00396,Government Data Centres,Normal,Normal,None,Normal
N-01-00397,Government Data Centres,Normal,Normal,None,Normal
N-01-00398,Government Data Centres,Normal,Normal,None,Normal
N-01-00399,Government Data Centres,Normal,Normal,None,Normal
N-01-00400,Government Data Centres,Normal,Normal,None,Normal
N-01-00401,Government Data Centres,Normal,Normal,None,Normal
N-01-00402,Government Data Centres,Normal,Normal,None,Normal
N-01-00403,Government Data Centres,Normal,Normal,None,Normal
N-01-00404,Government Data Centres,Normal,Normal,None,Normal
N-01-00405,Government Data Centres,Normal,Normal,None,Normal
N-01-00406,Government Data Centres,Normal,Normal,None,Normal
N-01-00407,Government Data Centres,Normal,Normal,None,Normal
N-01-00408,Government Data Centres,Normal,Normal,None,Normal
N-01-00409,Government Data Centres,Normal,Normal,None,Normal
N-01-00410,Government Data Centres,Normal,Normal,None,Normal
N-01-00411,Government Data Centres,Normal,Normal,None,Normal
N-01-00412,Government Data Centres,Normal,Normal,None,Normal
N-01-00413,Government Data Centres,Normal,Normal,None,Normal
N-01-00414,Government Data Centres,Normal,Normal,None,Normal
N-01-00415,Government Data Centres,Normal,Normal,None,Normal
N-01-00416,Government Data Centres,Normal,Normal,None,Normal
N-01-00417,Government Data Centres,Normal,Normal,None,Normal
N-01-00418,Government Data Centres,Normal,Normal,None,Normal
N-01-00419,Government Data Centres,Normal,Normal,None,Normal
N-01-00420,Government Data Centres,Normal,Normal,None,Normal
N-01-00421,Government Data Centres,Normal,Normal,None,Normal
N-01-00422,Government Data Centres,Normal,Normal,None,Normal
N-01-00423,Government Data Centres,Normal,Normal,None,Normal
N-01-00424,Government Data Centres,Normal,Normal,None,Normal
N-01-00425,Government Data Centres,Normal,Normal,None,Normal
N-01-00426,Government Data Centres,Normal,Normal,None,Normal
N-01-00427,Government Data Centres,Normal,Normal,None,Normal
N-01-00428,Government Data Centres,Normal,Normal,None,Normal
N-01-00429,Government Data Centres,Normal,Normal,None,Normal
N-01-00430,Government Data Centres,Normal,Normal,None,Normal
N-01-00431,Government Data Centres,Normal,Normal,None,Normal
N-01-00432,Government Data Centres,Normal,Normal,None,Normal
N-01-00433,Government Data Centres,Normal,Normal,None,Normal
N-01-00434,Government Data Centres,Normal,Normal,None,Normal
N-01-00435,Government Data Centres,Normal,Normal,None,Normal
N-01-00436,Government Data Centres,Normal,Normal,None,Normal
N-01-00437,Government Data Centres,Normal,Normal,None,Normal
N-01-00438,Government Data Centres,Normal,Normal,None,Normal
N-01-00439,Government Data Centres,Normal,Normal,None,Normal
N-01-00440,Government Data Centres,Normal,Normal,None,Normal
N-01-00441,Government Data Centres,Normal,Normal,None,Normal
N-01-00442,Government Data Centres,Normal,Normal,None,Normal
N-01-00443,Government Data Centres,Normal,Normal,None,Normal
N-01-00444,Government Data Centres,Normal,Normal,None,Normal
N-01-00445,Government Data Centres,Normal,Normal,None,Normal
N-01-00446,Government Data Centres,Normal,Normal,None,Normal
N-01-00447,Government Data Centres,Normal,Normal,None,Normal
N-01-00448,Government Data Centres,Normal,Normal,None,Normal
N-01-00449,Government Data Centres,Normal,Normal,None,Normal
N-01-00450,Government Data Centres,Normal,Normal,None,Normal
N-01-00451,Government Data Centres,Normal,Normal,None,Normal
N-01-00452,Government Data Centres,Normal,Normal,None,Normal
N-01-00453,Government Data Centres,Normal,Normal,None,Normal
N-01-00454,Government Data Centres,Normal,Normal,None,Normal
N-01-00455,Government Data Centres,Normal,Normal,None,Normal
N-01-00456,Government Data Centres,Normal,Normal,None,Normal
N-01-00457,Government Data Centres,Normal,Normal,None,Normal
N-01-00458,Government Data Centres,Normal,Normal,None,Normal
N-01-00459,Government Data Centres,Normal,Normal,None,Normal
N-01-00460,Government Data Centres,Normal,Normal,None,Normal
N-01-00461,Government Data Centres,Normal,Normal,None,Normal
N-01-00462,Government Data Centres,Normal,Normal,None,Normal
N-01-00463,Government Data Centres,Normal,Normal,None,Normal
N-01-00464,Government Data Centres,Normal,Normal,None,Normal
N-01-00465,Government Data Centres,Normal,Normal,None,Normal
N-01-00466,Government Data Centres,Normal,Normal,None,Normal
N-01-00467,Government Data Centres,Normal,Normal,None,Normal
N-01-00468,Government Data Centres,Normal,Normal,None,Normal
N-01-00469,Government Data Centres,Normal,Normal,None,Normal
N-01-00470,Government Data Centres,Normal,Normal,None,Normal
N-01-00471,Government Data Centres,Normal,Normal,None,Normal
N-01-00472,Government Data Centres,Normal,Normal,None,Normal
N-01-00473,Government Data Centres,Normal,Normal,None,Normal
N-01-00474,Government Data Centres,Normal,Normal,None,Normal
N-01-00475,Government Data Centres,Normal,Normal,None,Normal
N-01-00476,Government Data Centres,Normal,Normal,None,Normal
N-01-00477,Government Data Centres,Normal,Normal,None,Normal
