EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-04-00015,2026-01-16T07:44:13,Railways,DEPT-04,S04-AUTH01,S04-DB01,10.2.42.213,10.3.43.165,22,5432,UDP,953,49615,473,361,62.57,6,2,2,auth.local,1,No,USR-037,Password,Success,1,nginx,8,Critical,Internal,OWNER-04,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,808.1828352245485,13.329071439987214,0.5,0.834,4,2.0,8.0
N-04-00016,2026-01-19T19:20:18,Railways,DEPT-04,S04-VPN01,S04-CTRL01,10.2.42.138,10.3.43.170,53,443,TCP,32689,37453,167,452,89.78,8,4,2,monitor.local,2,Yes,USR-077,Certificate,Success,2,nginx,20,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,781.2653152149699,6.894631321006906,0.6666666666666666,0.619,11,2.0,10.0
N-04-00017,2026-01-14T13:16:42,Railways,DEPT-04,S04-GW01,S04-CTRL01,10.2.42.123,10.3.43.243,80,443,TCP,27985,46754,496,37,55.87,5,4,4,auth.local,2,No,USR-039,Password,Success,2,svchost,1,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1337.7304456774657,9.540003579738679,0.6666666666666666,0.533,8,2.0,12.0
N-04-00018,2026-01-09T00:10:50,Railways,DEPT-04,S04-MGMT01,S04-BKP01,10.2.42.9,10.3.43.30,80,80,TCP,19269,29998,384,93,117.81,8,2,4,auth.local,5,Yes,USR-029,Password,Success,2,python,11,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,418.1903064256005,4.048892284186402,0.6666666666666666,0.477,11,2.0,10.0
N-04-00019,2026-01-01T19:03:48,Railways,DEPT-04,S04-DB01,S04-MGMT01,10.2.42.39,10.3.43.102,443,443,TCP,21937,68452,434,329,116.07,3,4,2,service.local,2,No,USR-006,SSO,Success,2,python,20,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,778.7455845610408,6.573619367622986,0.6666666666666666,0.763,6,2.0,10.0
N-04-00020,2026-01-12T02:43:32,Railways,DEPT-04,S04-MGMT01,S04-VPN01,10.2.42.178,10.3.43.142,22,53,TCP,2296,48929,431,299,16.22,2,1,4,monitor.local,5,No,USR-061,Password,Success,1,java,9,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,3158.1381011097415,45.006165228113446,0.5,0.73,5,2.0,9.0
N-04-00021,2026-01-19T02:14:32,Railways,DEPT-04,S04-GW01,S04-AUTH01,10.2.42.141,10.3.43.25,22,5432,UDP,47168,57848,372,264,13.06,2,5,2,monitor.local,1,No,USR-014,Password,Success,0,python,8,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,8041.041347626339,48.698315467075034,0.0,0.636,7,2.0,11.0
N-04-00022,2026-01-18T04:11:34,Railways,DEPT-04,S04-VPN01,S04-AUTH01,10.2.42.145,10.3.43.197,80,53,UDP,45984,28894,140,216,95.47,5,4,2,auth.local,4,No,USR-069,Certificate,Success,2,svchost,20,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,784.3092070807584,3.728920079606159,0.6666666666666666,0.356,6,2.0,10.0
N-04-00023,2026-01-08T13:18:17,Railways,DEPT-04,S04-VPN01,S04-DB01,10.2.42.122,10.3.43.249,80,53,UDP,22015,60604,58,320,100.1,8,2,4,auth.local,4,No,USR-016,Certificate,Success,2,python,17,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,825.3646353646354,3.7762237762237763,0.6666666666666666,0.378,6,2.0,10.0
N-04-00024,2026-01-03T00:28:08,Railways,DEPT-04,S04-GW01,S04-VPN01,10.2.42.65,10.3.43.50,53,53,TCP,45006,19207,372,112,39.85,5,2,2,monitor.local,2,Yes,USR-058,Certificate,Success,2,nginx,8,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1611.3676286072773,12.145545796737766,0.6666666666666666,0.484,9,2.0,8.0
N-04-00025,2026-01-20T06:26:44,Railways,DEPT-04,S04-APP01,S04-MGMT01,10.2.42.88,10.3.43.236,8080,5432,UDP,5691,28586,204,278,23.44,4,3,1,monitor.local,2,No,USR-065,SSO,Success,1,powershell,10,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1462.3293515358362,20.563139931740615,0.5,0.482,4,2.0,8.0
N-04-00026,2026-01-07T20:11:02,Railways,DEPT-04,S04-WS01,S04-CTRL01,10.2.42.217,10.3.43.5,22,80,TCP,447,63939,304,534,62.22,8,4,1,internal.gov.local,5,Yes,USR-054,Certificate,Success,1,svchost,18,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1034.8119575699131,13.468338154934106,0.5,0.838,10,2.0,9.0
N-04-00027,2026-01-12T13:28:59,Railways,DEPT-04,S04-DB01,S04-AUTH01,10.2.42.139,10.3.43.174,80,53,TCP,46343,64937,299,533,71.72,8,5,2,internal.gov.local,4,No,USR-032,Certificate,Success,0,nginx,3,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1551.589514779699,11.600669269380926,0.0,0.832,7,2.0,11.0
N-04-00028,2026-01-04T07:09:17,Railways,DEPT-04,S04-DB01,S04-MON01,10.2.42.3,10.3.43.131,80,443,UDP,44757,19847,368,389,31.36,7,4,3,auth.local,3,Yes,USR-025,Certificate,Success,2,java,4,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,2060.076530612245,24.1390306122449,0.6666666666666666,0.757,12,2.0,11.0
N-04-00029,2026-01-09T15:35:19,Railways,DEPT-04,S04-MGMT01,S04-GW01,10.2.42.168,10.3.43.99,53,5432,UDP,33023,1708,387,385,69.42,5,4,3,service.local,1,No,USR-017,Certificate,Success,2,java,7,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,500.30250648228173,11.120714491501008,0.6666666666666666,0.772,7,2.0,11.0
N-04-00030,2026-01-16T09:26:28,Railways,DEPT-04,S04-WS01,S04-DB01,10.2.42.223,10.3.43.26,22,80,UDP,12817,66169,339,528,7.31,2,2,4,service.local,3,No,USR-069,Certificate,Success,1,nginx,18,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,10805.198358413134,118.6046511627907,0.5,0.867,6,2.0,10.0
N-04-00031,2026-01-08T12:51:31,Railways,DEPT-04,S04-BKP01,S04-MON01,10.2.42.59,10.3.43.137,22,80,UDP,20833,14500,92,156,1.53,3,1,3,internal.gov.local,3,Yes,USR-001,Password,Success,0,java,8,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,23093.46405228758,162.09150326797385,0.0,0.248,9,2.0,8.0
N-04-00032,2026-01-06T14:06:10,Railways,DEPT-04,S04-MON01,S04-GW01,10.2.42.166,10.3.43.237,443,80,TCP,30605,2409,32,399,64.54,1,5,4,auth.local,2,No,USR-072,SSO,Success,1,powershell,1,High,Internal,OWNER-04,3.9,No,None,Normal,Normal,Normal,Normal,None,Normal,511.5277347381468,6.678029129222187,0.5,0.431,9,2.0,13.0
N-04-00033,2026-01-05T07:42:49,Railways,DEPT-04,S04-MON01,S04-DB01,10.2.42.223,10.3.43.196,443,443,TCP,43327,16969,412,308,32.16,2,2,1,monitor.local,1,No,USR-066,SSO,Success,1,svchost,1,High,Internal,OWNER-04,3.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1874.8756218905476,22.38805970149254,0.5,0.72,3,2.0,7.0
N-04-00034,2026-01-14T12:04:12,Railways,DEPT-04,S04-WS01,S04-APP01,10.2.42.106,10.3.43.67,443,53,UDP,6661,49303,432,113,116.2,2,5,2,service.local,2,No,USR-015,Password,Success,2,java,18,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,481.617900172117,4.690189328743545,0.6666666666666666,0.545,7,2.0,11.0
N-04-00035,2026-01-03T02:33:01,Railways,DEPT-04,S04-MGMT01,S04-GW01,10.2.42.34,10.3.43.64,80,80,TCP,47466,16069,113,584,69.36,3,5,3,internal.gov.local,3,No,USR-064,Password,Success,1,nginx,5,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,916.0178777393311,10.049019607843137,0.5,0.697,8,2.0,12.0
N-04-00036,2026-01-17T13:31:17,Railways,DEPT-04,S04-AUTH01,S04-APP01,10.2.42.202,10.3.43.241,8080,443,UDP,6301,7069,355,88,72.01,6,2,2,internal.gov.local,1,No,USR-079,SSO,Success,2,powershell,5,Critical,Internal,OWNER-04,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,185.66865713095402,6.151923343980003,0.6666666666666666,0.443,4,2.0,8.0
N-04-00037,2026-01-19T12:02:18,Railways,DEPT-04,S04-VPN01,S04-APP01,10.2.42.240,10.3.43.169,80,22,TCP,46841,40133,354,127,75.02,8,5,1,monitor.local,4,No,USR-003,Certificate,Success,0,python,20,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1159.344174886697,6.411623567048787,0.0,0.481,6,2.0,10.0
N-04-00038,2026-01-09T05:56:17,Railways,DEPT-04,S04-APP01,S04-AUTH01,10.2.42.207,10.3.43.237,80,443,UDP,45476,58641,28,82,80.15,2,1,3,service.local,1,Yes,USR-034,Certificate,Success,1,svchost,4,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1299.0268247036804,1.372426699937617,0.5,0.11,9,2.0,8.0
N-04-00039,2026-01-15T08:30:35,Railways,DEPT-04,S04-GW01,S04-APP01,10.2.42.50,10.3.43.163,80,53,TCP,28603,48445,76,578,116.79,8,2,3,service.local,1,No,USR-049,SSO,Success,1,svchost,19,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,659.7140166110112,5.59979450295402,0.5,0.654,5,2.0,9.0
N-04-00040,2026-01-11T10:51:53,Railways,DEPT-04,S04-APP01,S04-MON01,10.2.42.20,10.3.43.230,80,53,UDP,17963,2681,51,235,2.71,8,2,3,service.local,2,No,USR-040,Certificate,Success,2,svchost,1,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,7617.712177121772,105.5350553505535,0.6666666666666666,0.286,5,2.0,9.0
N-04-00041,2026-01-01T16:55:25,Railways,DEPT-04,S04-MON01,S04-DB01,10.2.42.144,10.3.43.110,8080,5432,UDP,36316,57468,425,120,68.97,1,2,2,auth.local,3,No,USR-035,Password,Success,0,svchost,2,High,Internal,OWNER-04,3.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1359.779614325069,7.901986370885893,0.0,0.545,4,2.0,8.0
N-04-00042,2026-01-19T05:03:33,Railways,DEPT-04,S04-BKP01,S04-MON01,10.2.42.170,10.3.43.67,22,443,TCP,21123,56796,385,135,20.0,5,5,1,internal.gov.local,4,No,USR-038,SSO,Success,2,python,17,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,3895.95,26.0,0.6666666666666666,0.52,6,2.0,10.0
N-04-00043,2026-01-13T19:59:04,Railways,DEPT-04,S04-AUTH01,S04-VPN01,10.2.42.74,10.3.43.232,53,443,UDP,43698,57152,156,474,81.3,8,2,1,service.local,4,No,USR-041,Password,Success,0,powershell,11,Critical,Internal,OWNER-04,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1240.4674046740467,7.749077490774908,0.0,0.63,3,2.0,7.0
N-04-00044,2026-01-13T17:19:19,Railways,DEPT-04,S04-DB01,S04-WS01,10.2.42.211,10.3.43.55,443,5432,TCP,27561,59668,260,524,78.25,4,1,1,service.local,1,No,USR-020,Password,Success,2,powershell,12,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1114.747603833866,10.019169329073483,0.6666666666666666,0.784,2,2.0,6.0
N-04-00045,2026-01-15T07:31:33,Railways,DEPT-04,S04-WS01,S04-BKP01,10.2.42.4,10.3.43.50,22,22,TCP,22527,47144,225,367,88.13,6,1,4,auth.local,2,No,USR-005,SSO,Success,1,powershell,18,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,790.54805401112,6.717349370248497,0.5,0.592,5,2.0,9.0
N-04-00046,2026-01-14T19:49:23,Railways,DEPT-04,S04-AUTH01,S04-GW01,10.2.42.73,10.3.43.83,22,22,TCP,12165,69183,109,76,100.18,8,5,3,auth.local,3,No,USR-024,Certificate,Success,0,java,19,Critical,Internal,OWNER-04,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,812.0183669395088,1.8466759832301856,0.0,0.185,8,2.0,12.0
N-04-00047,2026-01-16T12:22:32,Railways,DEPT-04,S04-CTRL01,S04-MGMT01,10.2.42.229,10.3.43.119,22,80,UDP,39499,53983,381,226,0.52,5,5,3,auth.local,1,No,USR-057,Certificate,Success,2,svchost,9,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,179773.0769230769,1167.3076923076924,0.6666666666666666,0.607,8,2.0,12.0
N-04-00048,2026-01-05T19:43:34,Railways,DEPT-04,S04-APP01,S04-MON01,10.2.42.143,10.3.43.214,80,5432,TCP,1077,44295,370,579,91.1,6,1,2,internal.gov.local,1,No,USR-049,Password,Success,0,nginx,2,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,498.0461031833151,10.417124039517015,0.0,0.949,3,2.0,7.0
N-04-00049,2026-01-09T17:37:53,Railways,DEPT-04,S04-BKP01,S04-MON01,10.2.42.231,10.3.43.216,22,53,TCP,41416,56034,446,229,0.15,5,2,2,auth.local,5,No,USR-011,SSO,Success,1,powershell,0,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,649666.6666666667,4500.0,0.5,0.675,4,2.0,8.0
N-04-00050,2026-01-20T09:07:48,Railways,DEPT-04,S04-MON01,S04-MGMT01,10.2.42.86,10.3.43.185,53,5432,UDP,6213,34886,479,401,117.09,8,2,3,service.local,5,No,USR-079,SSO,Success,0,powershell,15,High,Internal,OWNER-04,3.9,No,None,Normal,Normal,Normal,Normal,None,Normal,351.0035015799812,7.515586301135878,0.0,0.88,5,2.0,9.0
N-04-00051,2026-01-17T06:21:06,Railways,DEPT-04,S04-MON01,S04-WS01,10.2.42.170,10.3.43.102,443,53,UDP,27474,51748,386,325,108.25,7,3,1,monitor.local,2,No,USR-050,SSO,Success,1,python,12,High,Internal,OWNER-04,3.9,No,None,Normal,Normal,Normal,Normal,None,Normal,731.8429561200924,6.568129330254042,0.5,0.711,4,2.0,8.0
N-04-00052,2026-01-03T23:14:05,Railways,DEPT-04,S04-APP01,S04-VPN01,10.2.42.16,10.3.43.110,8080,53,UDP,37607,51336,308,232,73.93,3,3,4,service.local,2,No,USR-037,Password,Success,1,python,5,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1203.0704720681724,7.304206681996482,0.5,0.54,7,2.0,11.0
N-04-00053,2026-01-03T05:36:22,Railways,DEPT-04,S04-VPN01,S04-MGMT01,10.2.42.108,10.3.43.49,8080,80,UDP,39422,37481,229,460,75.74,2,4,2,service.local,2,Yes,USR-008,Password,Success,0,svchost,17,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1015.3551623976763,9.09691048323211,0.0,0.689,11,2.0,10.0
N-04-00054,2026-01-10T01:13:49,Railways,DEPT-04,S04-BKP01,S04-VPN01,10.2.42.176,10.3.43.13,22,80,UDP,49123,44081,20,211,39.45,2,4,3,auth.local,5,No,USR-051,Password,Success,2,powershell,12,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,2362.5855513307984,5.855513307984791,0.6666666666666666,0.231,7,2.0,11.0
N-04-00055,2026-01-19T06:35:54,Railways,DEPT-04,S04-WS01,S04-CTRL01,10.2.42.128,10.3.43.98,443,5432,UDP,29809,51480,158,441,95.92,1,2,4,service.local,2,No,USR-017,Certificate,Success,1,svchost,5,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,847.4666388657214,6.244787322768974,0.5,0.599,6,2.0,10.0
N-04-00056,2026-01-03T13:47:58,Railways,DEPT-04,S04-AUTH01,S04-VPN01,10.2.42.161,10.3.43.249,80,443,UDP,14861,53952,200,346,117.59,7,4,2,internal.gov.local,4,No,USR-063,Password,Success,1,svchost,5,Critical,Internal,OWNER-04,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,585.1943192448338,4.643251977208946,0.5,0.546,6,2.0,10.0
N-04-00057,2026-01-09T19:57:45,Railways,DEPT-04,S04-DB01,S04-MON01,10.2.42.116,10.3.43.107,443,22,UDP,45964,56886,212,363,83.18,8,1,4,auth.local,1,No,USR-021,SSO,Success,0,java,6,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1236.4751142101466,6.912719403702813,0.0,0.575,5,2.0,9.0
N-04-00058,2026-01-19T20:48:59,Railways,DEPT-04,S04-WS01,S04-MGMT01,10.2.42.88,10.3.43.188,53,80,UDP,45362,34614,306,91,54.7,5,5,2,monitor.local,1,No,USR-068,Certificate,Success,0,nginx,18,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1462.0840950639854,7.257769652650822,0.0,0.397,7,2.0,11.0
N-04-00059,2026-01-16T00:25:30,Railways,DEPT-04,S04-CTRL01,S04-MGMT01,10.2.42.133,10.3.43.208,443,5432,TCP,13545,68275,328,19,58.98,1,2,2,internal.gov.local,3,Yes,USR-054,SSO,Success,0,powershell,6,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,1387.2499152255002,5.8833502882332995,0.0,0.347,9,2.0,8.0
N-04-00060,2026-01-13T10:58:49,Railways,DEPT-04,S04-DB01,S04-GW01,10.2.42.86,10.3.43.24,8080,5432,TCP,35791,50724,31,408,68.28,3,3,3,monitor.local,5,No,USR-009,Password,Success,0,nginx,17,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1267.0620972466315,6.429408318687756,0.0,0.439,6,2.0,10.0
N-04-00061,2026-01-21T05:42:22,Railways,DEPT-04,S04-CTRL01,S04-MON01,10.2.42.137,10.3.43.100,80,5432,TCP,17145,7407,415,305,92.4,2,4,1,monitor.local,4,No,USR-026,Password,Success,1,java,10,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,265.7142857142857,7.792207792207792,0.5,0.72,5,2.0,9.0
N-04-00062,2026-01-09T06:50:12,Railways,DEPT-04,S04-WS01,S04-CTRL01,10.2.42.148,10.3.43.241,53,443,TCP,19254,67693,404,22,61.85,1,3,4,auth.local,5,Yes,USR-047,Certificate,Success,2,powershell,1,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1405.7720291026676,6.887631366208569,0.6666666666666666,0.426,12,2.0,11.0
