ASSET_ID,SECTOR,DEPARTMENT,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE
S08-VPN01,Government Healthcare,DEPT-08,Remote Access Gateway,High,DMZ
S08-CTRL01,Government Healthcare,DEPT-08,Sector-Specific Controller,Critical,OT
S09-GW01,Space Infrastructure,DEPT-09,Internet Gateway,High,DMZ
S09-APP01,Space Infrastructure,DEPT-09,Web/Application Server,High,DMZ
S09-AUTH01,Space Infrastructure,DEPT-09,Authentication Server,Critical,Internal
S09-DB01,Space Infrastructure,DEPT-09,Database Server,Critical,Internal
S09-WS01,Space Infrastructure,DEPT-09,User Workstation,Medium,Internal
S09-MGMT01,Space Infrastructure,DEPT-09,Management Server,Critical,Internal
S09-BKP01,Space Infrastructure,DEPT-09,Backup Server,Critical,Internal
S09-MON01,Space Infrastructure,DEPT-09,Monitoring Server,High,Internal
S09-VPN01,Space Infrastructure,DEPT-09,Remote Access Gateway,High,DMZ
S09-CTRL01,Space Infrastructure,DEPT-09,Sector-Specific Controller,Critical,OT
S10-GW01,State Government Networks,DEPT-10,Internet Gateway,High,DMZ
S10-APP01,State Government Networks,DEPT-10,Web/Application Server,High,DMZ
S10-AUTH01,State Government Networks,DEPT-10,Authentication Server,Critical,Internal
S10-DB01,State Government Networks,DEPT-10,Database Server,Critical,Internal
S10-WS01,State Government Networks,DEPT-10,User Workstation,Medium,Internal
S10-MGMT01,State Government Networks,DEPT-10,Management Server,Critical,Internal
S10-BKP01,State Government Networks,DEPT-10,Backup Server,Critical,Internal
S10-MON01,State Government Networks,DEPT-10,Monitoring Server,High,Internal
S10-VPN01,State Government Networks,DEPT-10,Remote Access Gateway,High,DMZ
S10-CTRL01,State Government Networks,DEPT-10,Sector-Specific Controller,Critical,OT
