ASSET_ID,SECTOR,DEPARTMENT,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,INTERNET_EXPOSURE,VULNERABILITY_SCORE,DEPENDENCY_LEVEL
S07-WS01,Government Financial Systems,DEPT-07,User Workstation,Medium,Internal,OWNER-07,No,7.9,High
S07-MGMT01,Government Financial Systems,DEPT-07,Management Server,Critical,Internal,OWNER-07,No,4.7,Medium
S07-BKP01,Government Financial Systems,DEPT-07,Backup Server,Critical,Internal,OWNER-07,No,5.4,Medium
S07-MON01,Government Financial Systems,DEPT-07,Monitoring Server,High,Internal,OWNER-07,No,2.0,High
S07-VPN01,Government Financial Systems,DEPT-07,Remote Access Gateway,High,DMZ,OWNER-07,Yes,8.8,Medium
S07-CTRL01,Government Financial Systems,DEPT-07,Sector-Specific Controller,Critical,OT,OWNER-07,No,9.6,Low
S08-GW01,Government Healthcare,DEPT-08,Internet Gateway,High,DMZ,OWNER-08,Yes,6.0,Low
S08-APP01,Government Healthcare,DEPT-08,Web/Application Server,High,DMZ,OWNER-08,Yes,8.8,Medium
S08-AUTH01,Government Healthcare,DEPT-08,Authentication Server,Critical,Internal,OWNER-08,No,8.6,High
S08-DB01,Government Healthcare,DEPT-08,Database Server,Critical,Internal,OWNER-08,No,6.7,Low
S08-WS01,Government Healthcare,DEPT-08,User Workstation,Medium,Internal,OWNER-08,No,4.9,Low
S08-MGMT01,Government Healthcare,DEPT-08,Management Server,Critical,Internal,OWNER-08,No,6.2,High
S08-BKP01,Government Healthcare,DEPT-08,Backup Server,Critical,Internal,OWNER-08,No,9.2,High
S08-MON01,Government Healthcare,DEPT-08,Monitoring Server,High,Internal,OWNER-08,No,4.5,Low
S08-VPN01,Government Healthcare,DEPT-08,Remote Access Gateway,High,DMZ,OWNER-08,Yes,2.9,Medium
S08-CTRL01,Government Healthcare,DEPT-08,Sector-Specific Controller,Critical,OT,OWNER-08,No,8.9,Medium
S09-GW01,Space Infrastructure,DEPT-09,Internet Gateway,High,DMZ,OWNER-09,Yes,3.9,Low
S09-APP01,Space Infrastructure,DEPT-09,Web/Application Server,High,DMZ,OWNER-09,Yes,8.8,Low
S09-AUTH01,Space Infrastructure,DEPT-09,Authentication Server,Critical,Internal,OWNER-09,No,2.7,Medium
S09-DB01,Space Infrastructure,DEPT-09,Database Server,Critical,Internal,OWNER-09,No,8.4,High
S09-WS01,Space Infrastructure,DEPT-09,User Workstation,Medium,Internal,OWNER-09,No,8.0,Low
S09-MGMT01,Space Infrastructure,DEPT-09,Management Server,Critical,Internal,OWNER-09,No,7.1,High
S09-BKP01,Space Infrastructure,DEPT-09,Backup Server,Critical,Internal,OWNER-09,No,3.3,High
S09-MON01,Space Infrastructure,DEPT-09,Monitoring Server,High,Internal,OWNER-09,No,8.8,Medium
S09-VPN01,Space Infrastructure,DEPT-09,Remote Access Gateway,High,DMZ,OWNER-09,Yes,9.5,High
S09-CTRL01,Space Infrastructure,DEPT-09,Sector-Specific Controller,Critical,OT,OWNER-09,No,7.9,High
S10-GW01,State Government Networks,DEPT-10,Internet Gateway,High,DMZ,OWNER-10,Yes,3.6,Medium
S10-APP01,State Government Networks,DEPT-10,Web/Application Server,High,DMZ,OWNER-10,Yes,5.1,High
S10-AUTH01,State Government Networks,DEPT-10,Authentication Server,Critical,Internal,OWNER-10,No,7.1,Medium
S10-DB01,State Government Networks,DEPT-10,Database Server,Critical,Internal,OWNER-10,No,9.0,Medium
S10-WS01,State Government Networks,DEPT-10,User Workstation,Medium,Internal,OWNER-10,No,2.9,Low
S10-MGMT01,State Government Networks,DEPT-10,Management Server,Critical,Internal,OWNER-10,No,2.5,Low
S10-BKP01,State Government Networks,DEPT-10,Backup Server,Critical,Internal,OWNER-10,No,6.6,Low
S10-MON01,State Government Networks,DEPT-10,Monitoring Server,High,Internal,OWNER-10,No,6.6,Low
S10-VPN01,State Government Networks,DEPT-10,Remote Access Gateway,High,DMZ,OWNER-10,Yes,2.6,High
S10-CTRL01,State Government Networks,DEPT-10,Sector-Specific Controller,Critical,OT,OWNER-10,No,2.5,Low
